task_no,prompts,answers
1,Запиши цифрами: сорок семь,47
2,"Сравни (>, <, =): 58 _ 49",>
3,34 + 25 =|61 + 18 =,59|79
4,76 − 32 =|59 − 14 =,44|45
5,53 = _ дес.|53 = _ ед.,5|3
6,27 + 38 =|29 + 56 =,65|85
7,62 − 35 =|71 − 48 =,27|23
8,6 × 7 =|8 × 7 =,42|56
9,72 ÷ 9 =|56 ÷ 8 =,8|7
10,12 + 4 × 2 =|(15 − 7) × 3 =,20|24
11,9 роз и 7 тюльпанов — всего цветов?|Было 15 шаров; убрали 8 — осталось?,16|7
12,24 наклейки; у брата вдвое меньше — у брата?|Сколько вместе?|Отдали 6 — осталось вместе?,12|36|30
13,Сколько сторон у треугольника?|Сколько углов у квадрата?,3|4
14,Периметр квадрата со стороной 6 см?|Периметр прямоугольника 4 и 6 см?,24|20
15,1 м = _ см|1 ч = _ мин,100|60
16,Продолжи ряд 2 4 6 8 _|Чётное из 3 5 8 7?,10|8
